source,property_id,rescrape_url,sqft_hint,fair_value_hint
chestertons,21344063_CJL250168,https://www.chestertons.co.uk/properties/21344063/lettings/CJL250168,1423,6893
chestertons,21360100_CJL160102,https://www.chestertons.co.uk/properties/21360100/lettings/CJL160102,531,2436
chestertons,20916174_MCL240044,https://www.chestertons.co.uk/properties/20916174/lettings/MCL240044,1927,12049
chestertons,20735673_MCL070045,https://www.chestertons.co.uk/properties/20735673/lettings/MCL070045,1256,8389
chestertons,21342806_HEA751151,https://www.chestertons.co.uk/properties/21342806/lettings/HEA751151,,6122
chestertons,21296000_CAL250091,https://www.chestertons.co.uk/properties/21296000/lettings/CAL250091,1117,4991
chestertons,21375200_PTL210230,https://www.chestertons.co.uk/properties/21375200/lettings/PTL210230,803,2935
chestertons,21291297_HEA734215,https://www.chestertons.co.uk/properties/21291297/lettings/HEA734215,3991,10824
chestertons,21376893_KNL250172,https://www.chestertons.co.uk/properties/21376893/lettings/KNL250172,1200,6673
chestertons,21376892_HEA260435,https://www.chestertons.co.uk/properties/21376892/lettings/HEA260435,,7243
chestertons,21376719_FCL120086,https://www.chestertons.co.uk/properties/21376719/lettings/FCL120086,1450,6499
chestertons,21376727_HEA731216,https://www.chestertons.co.uk/properties/21376727/lettings/HEA731216,,2404
chestertons,21376726_HEA260286,https://www.chestertons.co.uk/properties/21376726/lettings/HEA260286,,7243
chestertons,21376738_SVL231111,https://www.chestertons.co.uk/properties/21376738/lettings/SVL231111,,2361
foxtons,chpk1276514,https://www.foxtons.co.uk/properties-to-rent/london/chpk1276514,720,5855
foxtons,chpk4983094,https://www.foxtons.co.uk/properties-to-rent/london/chpk4983094,,2202
foxtons,chpk0035552,https://www.foxtons.co.uk/properties-to-rent/london/chpk0035552,593,2468
foxtons,chpk0274114,https://www.foxtons.co.uk/properties-to-rent/london/chpk0274114,176,1933
knightfrank,bpq012518693,https://www.knightfrank.co.uk/properties/residential/to-let/property/bpq012518693,,4935
savills,gblsrecel180028l,https://search.savills.com/property-detail/gblsrecel180028l,133,2106
savills,gblsrecel120210l,https://search.savills.com/property-detail/gblsrecel120210l,1593,7495
savills,gbwprewsl250011l,https://search.savills.com/property-detail/gbwprewsl250011l,474,3451
savills,gbpurepul250085l,https://search.savills.com/property-detail/gbpurepul250085l,1725,7654
savills,gbbzremas132346l,https://search.savills.com/property-detail/gbbzremas132346l,3960,11161
savills,gbmyremfl250092l,https://search.savills.com/property-detail/gbmyremfl250092l,2077,8723
savills,gbwprewsl220078l,https://search.savills.com/property-detail/gbwprewsl220078l,911,5144
savills,gbssreclv186844l,https://search.savills.com/property-detail/gbssreclv186844l,604,3987
savills,gbnnrenhl230031l,https://search.savills.com/property-detail/gbnnrenhl230031l,835,3935
savills,gbssresll170102l,https://search.savills.com/property-detail/gbssresll170102l,723,3885
savills,gbsjrestl150076l,https://search.savills.com/property-detail/gbsjrestl150076l,840,3852
savills,gbwarewal180049l,https://search.savills.com/property-detail/gbwarewal180049l,755,4533
savills,gbwlrepul260005l,https://search.savills.com/property-detail/gbwlrepul260005l,1497,6857
savills,gbbzrebzl190060l,https://search.savills.com/property-detail/gbbzrebzl190060l,577,3798
savills,gblsrecel110019l,https://search.savills.com/property-detail/gblsrecel110019l,1994,9575
savills,gbkbreknl190039l,https://search.savills.com/property-detail/gbkbreknl190039l,2187,8453
savills,gbmorembl160068l,https://search.savills.com/property-detail/gbmorembl160068l,504,5324
knightfrank,cus012550700,https://www.knightfrank.co.uk/properties/residential/to-let/property/cus012550700,547,3338
knightfrank,ilm012635512,https://www.knightfrank.co.uk/properties/residential/to-let/property/ilm012635512,593,2675
knightfrank,mrq012608557,https://www.knightfrank.co.uk/properties/residential/to-let/property/mrq012608557,474,3356
knightfrank,baq012605180,https://www.knightfrank.co.uk/properties/residential/to-let/property/baq012605180,522,3537
knightfrank,baq012530502,https://www.knightfrank.co.uk/properties/residential/to-let/property/baq012530502,586,3438
knightfrank,sjq012615274,https://www.knightfrank.co.uk/properties/residential/to-let/property/sjq012615274,672,3731
knightfrank,skq012544714,https://www.knightfrank.co.uk/properties/residential/to-let/property/skq012544714,1292,4369
knightfrank,chq012684222,https://www.knightfrank.co.uk/properties/residential/to-let/property/chq012684222,326,2598
knightfrank,wlq012657809,https://www.knightfrank.co.uk/properties/residential/to-let/property/wlq012657809,801,4817
knightfrank,baq012555035,https://www.knightfrank.co.uk/properties/residential/to-let/property/baq012555035,841,4334
knightfrank,knq012612454,https://www.knightfrank.co.uk/properties/residential/to-let/property/knq012612454,667,4486
knightfrank,chq012616118,https://www.knightfrank.co.uk/properties/residential/to-let/property/chq012616118,1153,5118
knightfrank,wmq012437893,https://www.knightfrank.co.uk/properties/residential/to-let/property/wmq012437893,2478,8929
knightfrank,flq012548552,https://www.knightfrank.co.uk/properties/residential/to-let/property/flq012548552,,3330
knightfrank,knq012589267,https://www.knightfrank.co.uk/properties/residential/to-let/property/knq012589267,1579,5491
knightfrank,keq012588957,https://www.knightfrank.co.uk/properties/residential/to-let/property/keq012588957,1404,4909
knightfrank,skq012542770,https://www.knightfrank.co.uk/properties/residential/to-let/property/skq012542770,1509,5379
chestertons,21377577_SVL190007,https://www.chestertons.co.uk/properties/21377577/lettings/SVL190007,,2293
chestertons,21377578_HEA227843,https://www.chestertons.co.uk/properties/21377578/lettings/HEA227843,908,3853
chestertons,21085998_SVL221065,https://www.chestertons.co.uk/properties/21085998/lettings/SVL221065,2228,6440
chestertons,21377934_FCL260006,https://www.chestertons.co.uk/properties/21377934/lettings/FCL260006,420,2255
